NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.01	27.69	5.03	0.03	35.16	10.04	10.85	0.03	0.01	0.30	0	4.83	1.53	0.03	0.01	0.14	0.02	0	0.01	0	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	95.80
rt491	0	2.28	0.92	0.02	8.32	3.12	5.42	0	0	0	0	2.21	0.26	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.04	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0.01	0	0.01	0	0	22.68
bg491	0.66	19.17	3.30	4.90	14.65	16.46	13.61	9.67	6.28	5.69	0	0.53	0.30	0.09	9.62	11.35	7.39	8.91	6.22	0.33	0.26	0	0.28	4.81	0.80	0.60	0.12	0	0	5.23	0.40	9.61	0.31	0	0	0	0	0.76	0.06	0.04	0	0	0	0	0.11	0.04	0	0	0	162.56
rg491	0.24	1.59	0.46	0.75	1.00	2.20	2.15	1.95	1.31	0.84	0	0.17	0.09	0	0.04	1.26	1.36	1.80	1.31	0.14	0.09	0	0	0.75	0.21	0.17	0.05	0	0	0.68	0.15	1.40	0.14	0	0	0	0	0.15	0	0.01	0	0	0	0	0.01	0	0	0	0	22.47
rp491	7.42	12.55	6.13	5.46	11.81	13.10	10.67	11.52	7.95	8.17	0	4.22	3.13	1.54	0	3.73	4.84	5.02	5.66	3.29	2.39	0	0	3.92	5.86	4.96	2.07	1.92	0	2.94	3.34	5.96	2.74	0	1.85	0	0	2.21	0.96	1.94	1.69	2.36	0	0	1.20	1.23	1.43	2.37	1.33	180.88
bt492	0	31.97	3.37	0	26.68	11.65	9.84	0	0	0.01	0	3.64	0.61	0.73	0.02	0.07	0.04	0.09	0	0.29	0.01	0	0	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	89.08
rt492	0	0	0.36	0	9.31	3.40	5.32	0	0	0	0	2.09	0.38	0.31	0	0.02	0.02	0.05	0	0	0	0	0	0.01	0	0.01	0	0.03	0	0	0.01	0.01	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	21.37
bg492	0	5.50	1.37	0	4.77	4.51	5.01	0	0	0.32	0	0.53	0.28	0.03	9.28	11.77	8.00	9.18	6.73	0.16	0.08	0	0.08	5.77	0.56	0.46	0.24	0.06	0	5.99	0.19	9.40	0.43	0	0.03	0	0	1.04	0	0.01	0	0	0	0	0.06	0.01	0	0	0	91.85
rg492	0	0.02	0.24	0	0.90	0.67	0.93	0	0	0	0	0.27	0.15	0.05	0.06	1.71	1.45	2.04	1.41	0.16	0.03	0	0	0.78	0.27	0.28	0.13	0.01	0	0.80	0.09	2.16	0.19	0	0	0	0	0.17	0	0	0	0	0	0	0	0.01	0	0	0	14.98
cpr492	0	0	0.38	0	3.20	3.19	2.71	0	0	0	0	4.09	3.20	1.23	0.01	3.59	4.64	5.03	6.03	2.86	2.05	0	0	3.68	5.05	4.07	2.87	1.42	0	2.73	2.90	5.81	3.76	0	2.56	0	0	2.18	1.43	1.81	1.89	1.95	0	0	1.12	1.42	1.54	3.28	1.93	95.61
